adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,imdb_url
False,/gGgDMV1vN20q8qEdxV0K43UrK0y.jpg,"[27, 53]",507089,en,Five Nights at Freddy's,"Recently fired and desperate for work, a troubled young man named Mike agrees to take a position as a night security guard at an abandoned theme restaurant: Freddy Fazbear's Pizzeria. But he soon discovers that nothing at Freddy's is what it seems.",13.6723,/4dKRTUylqwXQ4VJz0BS84fqW2wa.jpg,2023-10-25,Five Nights at Freddy's,False,7.483,4271,https://www.imdb.com/title/tt4589218/
False,/W1ffLQGHoxfAOq0ZYdPtJlvAdb.jpg,"[878, 18, 10749]",38,en,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",13.2338,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,2004-03-19,Eternal Sunshine of the Spotless Mind,False,8.1,15334,https://www.imdb.com/title/tt0338013/
False,/eOKpbUpd178x9Z2grd3vC74kkkU.jpg,"[14, 12, 28]",324544,en,In the Lost Lands,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where the sorceress and her guide, the drifter Boyce must outwit and outfight man and demon.",13.636,/dDlfjR7gllmr8HTeN6rfrYhTdwX.jpg,2025-02-27,In the Lost Lands,False,5.9,24,https://www.imdb.com/title/tt4419684/
False,/sGOw65ZmfgGfistCjuNsazjs6j9.jpg,"[37, 18, 12]",281957,en,The Revenant,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",14.5493,/ji3ecJphATlVgWNY0B0RVXZizdf.jpg,2015-12-25,The Revenant,False,7.533,18355,https://www.imdb.com/title/tt1663202/
False,/zZKmEmRDc7ZjFucPm2UGNgDRlDc.jpg,"[12, 35, 14, 28]",353486,en,Jumanji: Welcome to the Jungle,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!",14.568,/pSgXKPU5h6U89ipF7HBYajvYt7j.jpg,2017-12-09,Jumanji: Welcome to the Jungle,False,6.818,13810,https://www.imdb.com/title/tt2283362/
False,/cq9N64ucEtfIc3eMxNr1VzY9LH9.jpg,[18],37799,en,The Social Network,"In 2003, Harvard undergrad and computer programmer Mark Zuckerberg begins work on a new concept that eventually turns into the global social network known as Facebook. Six years later, Mark is one of the youngest billionaires ever, but his unprecedented success leads to both personal and legal complications when he ends up on the receiving end of two lawsuits, one involving his former friend.",12.2253,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg,2010-10-01,The Social Network,False,7.368,12344,https://www.imdb.com/title/tt1285016/
False,/4r7e8KNcjmb8eAt3MzKZpcuIjAn.jpg,"[28, 878, 53, 35, 27]",995803,en,Arena Wars,"In 2045 convicted criminals are given the opportunity to compete on the world's #1 televised sporting event, Arena Wars. They must survive 7 rooms and 7 of the most vicious killers in the country. If they win, they regain their freedom.",14.3077,/4dRtXjk1rcsZlaMJpBn6Nh9cTfO.jpg,2024-06-25,Arena Wars,False,5.0,48,https://www.imdb.com/title/tt14132588/
False,/zGLHX92Gk96O1DJvLil7ObJTbaL.jpg,"[14, 12]",338953,en,Fantastic Beasts: The Secrets of Dumbledore,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",14.9264,/3c5GNLB4yRSLBby0trHoA1DSQxQ.jpg,2022-04-06,Fantastic Beasts: The Secrets of Dumbledore,False,6.6,4650,https://www.imdb.com/title/tt4123432/
False,/AorubnsLNfPEx136uxxFQAqrF0g.jpg,"[27, 53]",1269108,id,Santet Segoro Pitu,"After finding a strange package, Sucipto and his family suspect a terrible curse is responsible for a string of misfortunes taking over their lives.",13.3959,/cWCdUrdBgX4G4v7SKscGyvw2FeR.jpg,2024-11-07,Curse of the Seven Seas,False,6.0,10,https://www.imdb.com/title/tt32495411/
False,/aX3Od8NVLgM7pMYgRpTPkwSrbSC.jpg,[27],968051,en,The Nun II,"In 1956 France, a priest is violently murdered, and Sister Irene begins to investigate. She once again comes face-to-face with a powerful evil.",15.4765,/nt5U1MgFcyxCYA6cssNKtnn2FsF.jpg,2023-09-06,The Nun II,False,6.71,2141,https://www.imdb.com/title/tt10160976/
